type,start_time,ambient_temperature,battery_id,test_id,uid,filename,capacity,re,rct,cycle_number,soh,capacity_fade,rul_cycles,health_status
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0047,118,119,00119.csv,1.13605864750225,,,119,67.8525609570252,32.147439042974796,0,Critical
discharge,[2010    8    6   12   51   21],4,B0047,120,121,00121.csv,1.12363646809692,,,121,67.11063034704092,32.889369652959076,0,Critical
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0047,124,125,00125.csv,1.13204989003289,,,125,67.61313277156161,32.38686722843839,0,Critical
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0047,126,127,00127.csv,1.11701017621581,,,127,66.71486655899128,33.285133441008725,0,Critical
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0047,128,129,00129.csv,1.12004303972198,,,129,66.89600822485437,33.10399177514563,0,Critical
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0047,130,131,00131.csv,1.1059773445917,,,131,66.05591652859503,33.944083471404966,0,Critical
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0047,132,133,00133.csv,0.0,,,133,0.0,100.0,0,Emergency
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0047,136,137,00137.csv,1.1907902374762,,,137,71.12147542121002,28.87852457878998,0,Warning
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0047,140,141,00141.csv,1.2012387088454,,,141,71.74552378530204,28.25447621469796,0,Warning
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0047,142,143,00143.csv,1.19069095490248,,,143,71.11554564205636,28.88445435794364,0,Warning
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0047,144,145,00145.csv,1.17643757303083,,,145,70.26424411425563,29.735755885744368,0,Warning
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0047,146,147,00147.csv,1.16281103727923,,,147,69.4503817755891,30.549618224410906,0,Critical
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0047,148,149,00149.csv,1.15161528405825,,,149,68.78170104369507,31.218298956304935,0,Critical
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0047,152,153,00153.csv,1.15836734983486,,,153,69.18497683909571,30.81502316090429,0,Critical
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0047,156,157,00157.csv,1.16922852883862,,,157,69.83367469640976,30.16632530359024,0,Critical
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0047,158,159,00159.csv,1.15881484762184,,,159,69.21170421882735,30.78829578117265,0,Critical
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0047,160,161,00161.csv,1.14395881477054,,,161,68.3244085877095,31.6755914122905,0,Critical
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0047,162,163,00163.csv,1.13839410681593,,,163,67.9920492623099,32.007950737690095,0,Critical
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0047,164,165,00165.csv,0.0,,,165,0.0,100.0,0,Emergency
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0047,168,169,00169.csv,1.22131028503956,,,169,72.94432443719808,27.055675562801923,0,Warning
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0047,172,173,00173.csv,1.2031062978889,,,173,71.85706793814606,28.14293206185394,0,Warning
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0047,174,175,00175.csv,1.18971471121976,,,175,71.05723823500803,28.94276176499197,0,Warning
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0047,176,177,00177.csv,1.17742256884201,,,177,70.32307425341037,29.67692574658963,0,Warning
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0047,178,179,00179.csv,1.15844302729381,,,179,69.18949677247043,30.810503227529566,0,Critical
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0047,180,181,00181.csv,1.15670875168417,,,181,69.08591493558367,30.914085064416327,0,Critical
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0045,0,185,00185.csv,1.08197938807795,,,185,64.62260777224402,35.377392227755976,0,Critical
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0045,4,189,00189.csv,0.927952404748273,,,189,55.42314848518911,44.57685151481089,0,Emergency
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0045,6,191,00191.csv,0.885193608411576,,,191,52.869324489162516,47.130675510837484,0,Emergency
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0045,8,193,00193.csv,0.858101069947828,,,193,51.25118785366952,48.74881214633048,0,Emergency
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0045,10,195,00195.csv,0.840935221345668,,,195,50.22593551197224,49.77406448802776,0,Emergency
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0045,12,197,00197.csv,0.824547194290191,,,197,49.247139560555546,50.752860439444454,0,Emergency
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0045,16,201,00201.csv,0.793596041880398,,,201,47.39854225425187,52.60145774574813,0,Emergency
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0045,20,205,00205.csv,0.81836760871592,,,205,48.878055880070164,51.121944119929836,0,Emergency
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0045,22,207,00207.csv,0.797764427640941,,,207,47.64750444430385,52.35249555569615,0,Emergency
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0045,24,209,00209.csv,0.799377741183163,,,209,47.74386166644822,52.25613833355178,0,Emergency
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0045,26,211,00211.csv,0.778310744062889,,,211,46.48560822202643,53.51439177797357,0,Emergency
discharge,[2010    7   24    9   56   39],4,B0045,28,213,00213.csv,0.780373823123911,,,213,46.60882826709623,53.39117173290377,0,Emergency
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0045,32,217,00217.csv,0.771305824564029,,,217,46.06723041350355,53.93276958649645,0,Emergency
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0045,36,221,00221.csv,0.795279016979026,,,221,47.49906010226957,52.50093989773043,0,Emergency
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0045,38,223,00223.csv,0.782412816991924,,,223,46.73060979309801,53.26939020690199,0,Emergency
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0045,40,225,00225.csv,0.764941499223118,,,225,45.68711291332525,54.31288708667475,0,Emergency
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0045,42,227,00227.csv,0.754489942677937,,,227,45.06288028313765,54.93711971686235,0,Emergency
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0045,44,229,00229.csv,0.750404897831429,,,229,44.81889573615209,55.18110426384791,0,Emergency
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0045,48,233,00233.csv,0.740725810962025,,,233,44.24079984888561,55.75920015111439,0,Emergency
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0045,50,235,00235.csv,0.0,,,235,0.0,100.0,0,Emergency
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0045,52,237,00237.csv,0.730852559379362,,,237,43.6511072248916,56.3488927751084,0,Emergency
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0045,54,239,00239.csv,0.72872558511779,,,239,43.52407095695363,56.47592904304637,0,Emergency
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0045,56,241,00241.csv,0.716102337703626,,,241,42.770131302052604,57.229868697947396,0,Emergency
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0045,60,245,00245.csv,0.712920483498801,,,245,42.580090975469176,57.419909024530824,0,Emergency
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0045,62,247,00247.csv,0.714199182949961,,,247,42.65646294151715,57.34353705848285,0,Emergency
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0045,64,249,00249.csv,0.719057081984422,,,249,42.94660719690708,57.05339280309292,0,Emergency
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0045,66,251,00251.csv,0.717397542877591,,,251,42.847489093581714,57.152510906418286,0,Emergency
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0045,68,253,00253.csv,0.707102749646394,,,253,42.23261935354183,57.76738064645817,0,Emergency
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0045,72,257,00257.csv,0.703531206505542,,,257,42.01930435505288,57.98069564494712,0,Emergency
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0045,74,259,00259.csv,0.694110827895886,,,259,41.4566601506755,58.5433398493245,0,Emergency
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0045,76,261,00261.csv,0.69141143888696,,,261,41.29543567720525,58.70456432279475,0,Emergency
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0045,78,263,00263.csv,0.69715517985055,,,263,41.638487978871375,58.361512021128625,0,Emergency
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0045,80,265,00265.csv,0.683246021743272,,,265,40.80774565724038,59.19225434275962,0,Emergency
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0045,84,269,00269.csv,0.682202931749329,,,269,40.745445768450935,59.254554231549065,0,Emergency
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0045,88,273,00273.csv,0.728952921321337,,,273,43.537648903517244,56.462351096482756,0,Emergency
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0045,90,275,00275.csv,0.7139321758287,,,275,42.640515598471836,57.359484401528164,0,Emergency
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0045,92,277,00277.csv,0.695773174745548,,,277,41.555945950045455,58.444054049954545,0,Emergency
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0045,94,279,00279.csv,0.701831296231709,,,279,41.91777503195823,58.08222496804177,0,Emergency
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0045,96,281,00281.csv,0.691180824437848,,,281,41.28166193321734,58.71833806678266,0,Emergency
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0045,100,285,00285.csv,0.684327975285502,,,285,40.87236672133619,59.12763327866381,0,Emergency
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0045,102,287,00287.csv,0.674139490881248,,,287,40.26384641244256,59.73615358755744,0,Emergency
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0045,104,289,00289.csv,0.667007017430173,,,289,39.8378502803965,60.1621497196035,0,Emergency
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0045,106,291,00291.csv,0.680408511737485,,,291,40.63827172994171,59.36172827005829,0,Emergency
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0045,108,293,00293.csv,0.661786406323548,,,293,39.52604258092253,60.47395741907747,0,Emergency
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0045,112,297,00297.csv,0.662316873349233,,,297,39.5577254049344,60.4422745950656,0,Emergency
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0045,114,299,00299.csv,0.667935835718177,,,299,39.89332514487059,60.10667485512941,0,Emergency
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0045,116,301,00301.csv,0.648899088527068,,,301,38.756330983479245,61.243669016520755,0,Emergency
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0045,118,303,00303.csv,0.650363912962552,,,303,38.84381950312437,61.15618049687563,0,Emergency
discharge,[2010    8    6   12   51   21],4,B0045,120,305,00305.csv,0.65720776902028,,,305,39.25257759088601,60.74742240911399,0,Emergency
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0045,124,309,00309.csv,0.636351745847621,,,309,38.00692483628984,61.99307516371016,0,Emergency
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0045,126,311,00311.csv,0.653644936094858,,,311,39.03978282119397,60.96021717880603,0,Emergency
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0045,128,313,00313.csv,0.639142827215088,,,313,38.17362575356946,61.82637424643054,0,Emergency
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0045,130,315,00315.csv,0.648220604949623,,,315,38.71580768092075,61.28419231907925,0,Emergency
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0045,132,317,00317.csv,0.628795747192272,,,317,37.55563311778528,62.44436688221472,0,Emergency
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0045,136,321,00321.csv,0.63805718501934,,,321,38.108784379907576,61.891215620092424,0,Emergency
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0045,140,325,00325.csv,0.65548250478329,,,325,39.14953396979768,60.85046603020232,0,Emergency
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0045,142,327,00327.csv,0.648493483539703,,,327,38.732105704977855,61.267894295022145,0,Emergency
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0045,144,329,00329.csv,0.645407168784492,,,329,38.54777159465622,61.45222840534378,0,Emergency
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0045,146,331,00331.csv,0.642700803184564,,,331,38.386130435333286,61.613869564666714,0,Emergency
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0045,148,333,00333.csv,0.635245488080247,,,333,37.940852171150624,62.059147828849376,0,Emergency
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0045,152,337,00337.csv,0.615676001958786,,,337,36.772039493324975,63.227960506675025,0,Emergency
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0045,156,341,00341.csv,0.617083368280702,,,341,36.85609625338452,63.14390374661548,0,Emergency
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0045,158,343,00343.csv,0.643422739085867,,,343,38.42924898370922,61.57075101629078,0,Emergency
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0045,160,345,00345.csv,0.627812443374275,,,345,37.49690403509521,62.50309596490479,0,Emergency
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0045,162,347,00347.csv,0.629007831525337,,,347,37.56830012680717,62.43169987319283,0,Emergency
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0045,164,349,00349.csv,0.0,,,349,0.0,100.0,0,Emergency
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0045,168,353,00353.csv,0.626635556829226,,,353,37.426612975550874,62.573387024449126,0,Emergency
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0045,172,357,00357.csv,0.649581351671659,,,357,38.79708002553695,61.20291997446305,0,Emergency
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0045,174,359,00359.csv,0.63374851779663,,,359,37.85144369946362,62.14855630053638,0,Emergency
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0045,176,361,00361.csv,0.629855092908564,,,361,37.61890390045772,62.38109609954228,0,Emergency
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0045,178,363,00363.csv,0.618306377838673,,,363,36.92914206907872,63.07085793092128,0,Emergency
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0045,180,365,00365.csv,0.606947616850777,,,365,36.25072548907028,63.74927451092972,0,Emergency
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0048,0,369,00369.csv,1.65799557936776,,,369,99.02591416637797,0.974085833622027,0,Healthy
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0048,4,373,00373.csv,1.50769334760987,,,373,90.04892044800661,9.951079551993388,0,Healthy
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0048,6,375,00375.csv,1.4989223343608,,,375,89.52506042330994,10.474939576690062,0,Healthy
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0048,8,377,00377.csv,1.47829195024977,,,377,88.29288425129789,11.707115748702108,0,Healthy
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0048,10,379,00379.csv,1.46185689139061,,,379,87.31127926503662,12.688720734963383,0,Healthy
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0048,12,381,00381.csv,1.45095927064734,,,381,86.66040487805404,13.339595121945962,0,Healthy
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0048,16,385,00385.csv,1.4517469971471,,,385,86.70745285437106,13.292547145628944,0,Healthy
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0048,20,389,00389.csv,1.44439286628747,,,389,86.26821794908155,13.731782050918454,0,Healthy
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0048,22,391,00391.csv,1.43273832396537,,,391,85.57213544922543,14.427864550774572,0,Healthy
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0048,24,393,00393.csv,1.41724120143866,,,393,84.64654991434661,15.353450085653392,0,Warning
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0048,26,395,00395.csv,1.40575599445734,,,395,83.96058118507594,16.039418814924062,0,Warning
discharge,[2010    7   24    9   56   39],4,B0048,28,397,00397.csv,1.3902706269897,,,397,83.03569773618878,16.96430226381122,0,Warning
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0048,32,401,00401.csv,1.41966593078803,,,401,84.79136998709915,15.208630012900855,0,Warning
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0048,36,405,00405.csv,1.41905639852322,,,405,84.75496489019308,15.24503510980692,0,Warning
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0048,38,407,00407.csv,1.40427235670405,,,407,83.87196901587625,16.128030984123754,0,Warning
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0048,40,409,00409.csv,1.39161404909583,,,409,83.11593534588226,16.884064654117736,0,Warning
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0048,42,411,00411.csv,1.37496183502947,,,411,82.12136048613245,17.878639513867554,0,Warning
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0048,44,413,00413.csv,1.35451557130711,,,413,80.90018114066903,19.099818859330966,0,Warning
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0048,48,417,00417.csv,1.34402230733159,,,417,80.27345748066915,19.72654251933085,0,Warning
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0048,50,419,00419.csv,0.0,,,419,0.0,100.0,0,Emergency
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0048,52,421,00421.csv,1.37238447586057,,,421,81.9674244014942,18.0325755985058,0,Warning
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0048,54,423,00423.csv,1.31841057526744,,,423,78.74376390814231,21.256236091857687,0,Warning
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0048,56,425,00425.csv,1.31127275995786,,,425,78.31744872674028,21.68255127325972,0,Warning
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0048,60,429,00429.csv,1.29701724190011,,,429,77.46601961248274,22.53398038751726,0,Warning
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0048,62,431,00431.csv,1.29952195266317,,,431,77.61561667783135,22.384383322168645,0,Warning
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0048,64,433,00433.csv,1.28261540667295,,,433,76.60585151747075,23.394148482529246,0,Warning
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0048,66,435,00435.csv,1.2752890152407,,,435,76.16827338508759,23.831726614912412,0,Warning
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0048,68,437,00437.csv,1.2735572473264,,,437,76.06484132352386,23.935158676476135,0,Warning
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0048,72,441,00441.csv,1.25941143339385,,,441,75.21996442895914,24.780035571040855,0,Warning
